Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION
Ride_276.csv,49.353,48.9518,0.4012,80.0,0.173,0:02:49
Ride_277.csv,48.4202,47.8586,0.5616,160.0,0.361,0:02:02
Ride_278.csv,41.1394,40.0001,1.1393,240.0,0.407,0:02:12
Ride_279.csv,40.8678,38.9313,1.9365,320.0,1.834,0:10:55
Ride_28.csv,78.8127,78.0289,0.7838,160.0,3.945,0:15:04
Ride_280.csv,38.7774,34.5917,4.1857,720.0,1.871,0:04:26
Ride_281.csv,96.0988,91.7068,4.392,1040.0,4.861,0:12:08
Ride_282.csv,91.5224,91.0006,0.5218,80.0,0.429,0:01:02
Ride_283.csv,88.0693,79.9841,8.0852,1520.0,5.033,0:13:48
Ride_284.csv,72.0624,55.3441,16.7183,3520.0,17.375,0:26:36
Ride_285.csv,74.012,57.7623,16.2497,3520.0,16.754,0:18:02
Ride_286.csv,97.0161,97.0161,0.0,0.0,0.0,0:00:00
Ride_287.csv,96.4966,94.5106,1.986,480.0,4.768,0:12:16
Ride_288.csv,81.4309,82.4455,-1.0146,-160.0,2.603,0:07:31
Ride_289.csv,80.5732,73.6855,6.8877,1440.0,3.48,0:06:59
Ride_29.csv,74.7332,68.6451,6.0881,1360.0,5.142,0:09:57
Ride_290.csv,73.497,73.9064,-0.4094,-160.0,3.736,0:07:48
Ride_291.csv,73.7527,73.3075,0.4452,0.0,2.502,0:03:09
Ride_292.csv,73.0472,72.3743,0.6729,80.0,1.068,0:01:41
Ride_293.csv,55.1218,57.317,-2.1952,-480.0,3.816,0:15:02
Ride_294.csv,55.1822,55.1822,0.0,0.0,0.0,0:00:00
Ride_295.csv,47.4533,47.4362,0.0171,0.0,0.008,0:00:05
Ride_296.csv,33.8993,90.6131,-56.7138,-12160.0,5.884,0:27:40
Ride_297.csv,85.598,82.2645,3.3335,720.0,3.376,0:05:27
Ride_298.csv,96.8889,95.5863,1.3026,240.0,2.023,0:06:22
Ride_299.csv,87.0755,80.6726,6.4029,1280.0,4.487,0:14:19
Ride_3.csv,34.5592,35.7424,-1.1832,-240.0,9281.261,0:02:46
Ride_30.csv,67.8308,58.9808,8.85,2000.0,11.074,0:32:32
Ride_300.csv,80.3928,69.4437,10.9491,2320.0,6.89,0:19:57
Ride_301.csv,64.625,65.4711,-0.8461,-240.0,4.119,0:12:35
Ride_302.csv,60.8829,53.5172,7.3657,1520.0,8.665,0:20:04
Ride_303.csv,97.037,91.9489,5.0881,1120.0,5.345,0:11:07
Ride_304.csv,88.6709,81.2463,7.4246,1520.0,6.166,0:14:42
Ride_305.csv,81.0652,73.9817,7.0835,1520.0,3.521,0:09:17
Ride_306.csv,57.824,53.8615,3.9625,880.0,3.506,0:04:52
Ride_307.csv,52.827,44.9586,7.8684,1840.0,8.681,0:23:25
Ride_308.csv,96.9535,91.3083,5.6452,1200.0,8.578,0:20:27
Ride_309.csv,77.5878,74.0531,3.5347,720.0,14.303,0:23:55
Ride_31.csv,48.002,49.3264,-1.3244,-320.0,4.662,0:14:25
Ride_310.csv,82.1761,79.7768,2.3993,480.0,1.542,0:05:16
Ride_311.csv,76.6085,76.4731,0.1354,0.0,0.0,0:00:50
Ride_312.csv,42.6706,42.6126,0.058,-80.0,3.203,0:09:21
Ride_313.csv,42.1323,42.0999,0.0324,0.0,0.012,0:00:05
Ride_314.csv,41.5269,40.7103,0.8166,160.0,0.176,0:02:29
Ride_315.csv,39.9651,39.9696,-0.0045,0.0,0.072,0:00:28
Ride_316.csv,96.6859,95.8001,0.8858,160.0,2.339,0:05:07
Ride_317.csv,89.3467,89.6684,-0.3217,0.0,1.8,0:05:25
Ride_318.csv,89.5695,74.6707,14.8988,3040.0,15.29,0:41:02
Ride_319.csv,68.9308,70.5738,-1.643,-320.0,2.851,0:04:53
Ride_32.csv,49.3026,48.8659,0.4367,80.0,0.62,0:02:58
Ride_320.csv,65.8195,64.1148,1.7047,400.0,2.837,0:05:01
Ride_321.csv,63.7089,59.6001,4.1088,880.0,5.103,0:12:15
Ride_322.csv,59.4675,59.5188,-0.0513,0.0,0.739,0:03:09
Ride_323.csv,54.6818,56.5411,-1.8593,-400.0,2.113,0:04:04
Ride_324.csv,55.6429,55.3738,0.2691,80.0,0.268,0:00:42
Ride_325.csv,97.0001,90.1271,6.873,1440.0,9.859,0:18:47
Ride_326.csv,88.3726,84.0667,4.3059,880.0,2.562,0:03:08
Ride_327.csv,66.5463,65.6874,0.8589,240.0,2.498,0:08:51
Ride_328.csv,65.5255,65.698,-0.1725,0.0,0.191,0:03:17
Ride_329.csv,64.6752,64.6701,0.0051,0.0,0.001,0:00:58
Ride_33.csv,78.9442,70.9212,8.023,1760.0,9.619,0:23:04
Ride_330.csv,51.5288,51.3523,0.1765,0.0,3.119,0:08:31
Ride_331.csv,42.1098,39.6001,2.5097,480.0,2.51,0:05:13
Ride_332.csv,92.5085,87.6224,4.8861,1040.0,2.934,0:07:58
Ride_333.csv,83.3313,79.019,4.3123,880.0,4.185,0:05:43
Ride_334.csv,52.7887,51.976,0.8127,0.0,3.555,0:09:50
Ride_335.csv,48.8578,46.6141,2.2437,560.0,3.78,0:08:11
Ride_336.csv,68.1962,69.1195,-0.9233,-320.0,3.917,0:13:43
Ride_337.csv,97.0839,95.4641,1.6198,320.0,3.8,0:10:21
Ride_338.csv,79.4393,80.0978,-0.6585,-240.0,3.802,0:08:51
Ride_339.csv,70.575,72.6908,-2.1158,-400.0,1.594,0:03:05
Ride_34.csv,60.2564,51.2943,8.9621,2080.0,6.214,0:15:54
